Cód. Bairros,Nome Bairros,Dia,Mês,Pluviometria
PA,Parelheiros ,16,3,0.0
AD,Cidade Ademar,16,3,0.0
MB,M Boi Mirim,17,3,0.0
CL,Campo Limpo,17,3,0.0
CS,Capela do Socorro,17,3,0.0
IP,Ipiranga,17,3,0.0
JA,Jabaquara,17,3,0.0
SA,Santo Amaro,17,3,0.0
VM,Vila Mariana,17,3,0.0
PA,Parelheiros ,17,3,0.0
AD,Cidade Ademar,17,3,0.0
MB,M Boi Mirim,18,3,0.0
CL,Campo Limpo,18,3,0.0
CS,Capela do Socorro,18,3,0.0
IP,Ipiranga,18,3,0.0
JA,Jabaquara,18,3,0.0
SA,Santo Amaro,18,3,0.0
VM,Vila Mariana,18,3,0.0
PA,Parelheiros ,18,3,0.0
AD,Cidade Ademar,18,3,0.0
MB,M Boi Mirim,19,3,0.1
CL,Campo Limpo,19,3,0.0
CS,Capela do Socorro,19,3,0.0
IP,Ipiranga,19,3,0.0
JA,Jabaquara,19,3,0.0
SA,Santo Amaro,19,3,0.0
VM,Vila Mariana,19,3,0.0
PA,Parelheiros ,19,3,0.0
AD,Cidade Ademar,19,3,0.0
MB,M Boi Mirim,20,3,0.1
CL,Campo Limpo,20,3,0.5
CS,Capela do Socorro,20,3,0.5
IP,Ipiranga,20,3,0.0
JA,Jabaquara,20,3,0.0
SA,Santo Amaro,20,3,0.6
VM,Vila Mariana,20,3,0.3
