,Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
7651,18.2,87.0,7.7,2.6,0.0,1.0
7652,17.6,89.0,7.3,2.2,0.0,1.0
7653,17.2,91.0,5.3,1.8,0.0,0.0
7654,16.9,93.0,5.7,2.2,0.0,0.0
7655,16.5,90.0,5.7,1.8,0.0,0.0
7656,16.1,90.0,3.4,1.4,0.0,0.0
7657,15.4,94.0,3.4,0.5,0.0,0.0
7658,14.9,96.0,1.8,0.6,0.0,0.0
7659,14.7,97.0,1.4,0.7,0.0,0.0
7660,14.8,97.0,2.0,1.2,0.0,0.0
7661,14.1,97.0,2.0,0.5,0.0,0.0
7662,14.1,97.0,1.8,0.9,0.0,1.0
7663,14.0,97.0,1.8,0.7,0.0,0.0
7664,13.8,97.0,1.5,0.9,0.0,1.0
7665,14.3,97.0,3.1,1.6,0.0,1.0
7666,16.9,85.0,3.3,1.9,0.0,0.0
7667,17.7,74.0,5.6,3.0,0.0,0.0
7668,17.6,76.0,6.8,2.2,0.0,0.0
7669,17.7,78.0,6.1,2.0,0.0,2.0
7670,18.7,78.0,5.1,2.4,0.0,0.0
7671,18.6,74.0,5.7,2.6,0.0,1.0
7672,19.9,70.0,5.4,2.3,0.0,0.0
7673,20.7,68.0,5.7,2.7,0.0,0.0
7674,19.6,78.0,7.7,3.5,0.0,0.0
7675,19.6,67.0,7.1,3.6,0.0,0.0
7676,19.1,71.0,7.1,3.0,0.0,0.0
7677,18.1,74.0,6.5,3.6,0.0,1.0
7678,16.8,76.0,6.5,3.1,0.0,2.0
7679,15.9,80.0,6.4,2.0,0.0,0.0
7680,15.4,91.0,6.3,3.4,0.0,0.0
7681,15.3,92.0,6.2,2.5,0.0,1.0
7682,15.3,93.0,5.5,2.4,0.0,0.0
7683,15.3,94.0,4.9,1.4,0.0,0.0
7684,14.9,93.0,4.8,1.4,0.0,0.0
7685,15.1,93.0,4.5,1.9,0.0,0.0
7686,15.0,90.0,4.5,2.1,0.0,0.0
7687,14.5,93.0,4.6,1.8,0.0,0.0
7688,14.1,94.0,4.0,1.1,0.0,0.0
7689,15.0,87.0,2.8,1.2,0.0,0.0
7690,17.2,78.0,3.2,1.3,0.0,0.0
7691,18.8,71.0,4.1,1.7,0.0,1.0
7692,19.4,68.0,6.4,3.2,0.0,2.0
7693,20.1,64.0,6.4,3.5,0.0,2.0
7694,21.0,66.0,7.2,3.5,0.0,0.0
7695,21.0,63.0,8.1,4.2,0.0,0.0
7696,20.4,63.0,9.5,4.6,0.0,0.0
7697,19.0,69.0,10.6,4.0,0.0,1.0
7698,19.6,69.0,10.1,3.7,0.0,0.0
7699,18.5,71.0,9.2,4.0,0.0,0.0
