Temp. Ins. (C),Umi. Ins. (%),Vel. Vento (m/s),Raj. Vento (m/s),Chuva (mm),num_ocorrencias
21.6,100.0,0.8,3.5,0.0,0.0
21.4,100.0,1.1,2.4,0.0,0.0
21.1,100.0,1.3,2.4,0.0,0.0
20.5,100.0,0.7,2.0,0.0,1.0
20.7,100.0,1.1,2.3,0.0,1.0
21.5,100.0,2.0,3.6,0.0,1.0
23.4,92.0,0.7,3.6,0.0,1.0
25.1,80.0,1.1,2.4,0.0,1.0
26.2,73.0,1.6,3.3,0.0,0.0
27.6,68.0,1.7,3.6,0.0,1.0
29.5,60.0,1.8,3.6,0.0,1.0
28.2,80.0,3.8,7.9,0.0,1.0
26.4,83.0,4.0,9.4,0.0,0.0
26.1,85.0,4.4,8.7,0.0,0.0
24.9,85.0,3.7,9.9,0.0,0.0
24.0,91.0,3.3,8.1,0.0,2.0
23.6,90.0,2.8,7.3,0.0,0.0
22.7,92.0,4.2,6.8,0.0,0.0
22.3,96.0,2.3,7.1,0.0,0.0
22.1,97.0,2.3,4.6,0.0,0.0
21.9,98.0,1.7,4.6,0.0,0.0
21.5,97.0,1.4,4.8,0.0,0.0
20.9,100.0,0.8,3.0,0.0,0.0
20.3,100.0,1.0,2.1,0.0,0.0
20.3,100.0,0.6,2.1,0.0,0.0
20.5,100.0,1.6,3.6,0.0,0.0
20.2,100.0,0.8,3.6,0.0,0.0
20.2,100.0,1.7,4.7,0.0,1.0
19.9,100.0,0.3,3.6,0.0,0.0
20.8,99.0,2.1,3.6,0.0,1.0
22.2,95.0,1.3,4.0,0.0,0.0
24.4,81.0,1.1,4.0,0.0,1.0
26.1,69.0,1.5,3.6,0.0,1.0
27.0,72.0,2.1,3.8,0.0,0.0
28.0,61.0,1.2,4.5,0.0,1.0
28.1,57.0,2.1,4.0,0.0,0.0
25.3,86.0,4.1,9.0,0.0,0.0
22.5,98.0,5.1,10.0,0.0,0.0
22.1,98.0,4.1,9.0,0.0,1.0
21.6,95.0,3.6,8.0,0.0,2.0
21.3,100.0,2.7,7.6,0.0,1.0
21.3,97.0,2.1,5.7,0.0,0.0
20.8,97.0,2.6,4.9,0.0,0.0
20.9,99.0,2.2,5.6,0.0,0.0
20.9,100.0,2.8,5.6,0.0,0.0
20.8,100.0,1.5,5.6,0.0,0.0
20.6,100.0,1.3,4.1,0.0,0.0
20.4,100.0,0.6,3.9,0.0,0.0
20.4,100.0,1.0,3.2,0.0,0.0
20.1,100.0,1.4,2.5,0.0,0.0
19.5,100.0,0.3,2.9,0.0,0.0
19.0,100.0,0.8,2.9,0.0,0.0
18.7,100.0,0.4,1.6,0.0,0.0
20.6,97.0,1.1,2.5,0.0,1.0
20.8,96.0,0.7,2.8,0.0,0.0
22.2,89.0,1.2,2.4,0.0,2.0
23.7,80.0,1.6,3.1,0.0,1.0
25.1,72.0,1.8,3.5,0.0,0.0
26.6,63.0,1.9,4.0,0.0,0.0
27.3,66.0,1.6,4.4,0.0,0.0
24.8,84.0,3.9,7.6,0.0,1.0
24.2,82.0,5.6,10.7,0.0,0.0
23.2,86.0,5.0,10.0,0.0,1.0
22.5,91.0,4.2,9.2,0.0,0.0
22.1,93.0,3.5,9.0,0.0,0.0
21.2,95.0,2.7,8.7,0.0,0.0
21.0,97.0,2.2,6.4,0.0,0.0
20.9,96.0,1.6,4.4,0.0,0.0
20.3,100.0,0.6,3.4,0.0,1.0
20.3,100.0,0.8,2.4,0.0,0.0
19.9,100.0,0.8,2.4,0.0,0.0
20.2,100.0,0.7,1.4,0.0,0.0
20.3,97.0,0.9,2.8,0.0,0.0
19.8,97.0,0.7,2.8,0.0,0.0
20.1,96.0,0.8,2.0,0.0,0.0
20.1,95.0,0.4,2.0,0.0,0.0
20.2,95.0,0.7,2.9,0.0,0.0
20.9,97.0,0.8,2.1,0.0,0.0
21.1,91.0,1.5,4.4,0.0,1.0
22.0,89.0,1.2,4.4,0.2,1.0
23.0,83.0,2.2,5.4,0.0,1.0
23.0,82.0,1.8,5.1,0.0,2.0
24.6,76.0,1.7,5.9,0.0,2.0
24.1,77.0,2.6,5.2,0.0,1.0
25.2,70.0,1.9,5.2,0.0,1.0
23.9,77.0,1.9,6.1,0.0,1.0
19.3,100.0,3.9,8.1,7.4,1.0
19.3,100.0,2.1,7.8,14.8,1.0
18.9,100.0,1.4,4.7,6.0,0.0
19.4,100.0,1.3,3.7,3.0,0.0
19.1,100.0,0.6,3.5,0.0,0.0
19.1,100.0,0.3,1.9,0.0,0.0
18.9,100.0,0.5,1.9,0.0,0.0
19.0,100.0,0.6,1.4,0.0,3.0
18.8,100.0,0.6,1.6,0.0,0.0
18.6,100.0,0.7,2.0,0.0,0.0
18.3,100.0,0.5,1.6,0.0,0.0
19.0,100.0,0.7,3.1,0.0,0.0
18.7,100.0,0.8,2.9,0.0,0.0
18.6,100.0,0.6,2.9,0.0,1.0
18.3,100.0,0.4,1.9,0.0,0.0
20.3,100.0,1.8,3.3,0.0,0.0
21.8,93.0,2.7,4.5,0.0,1.0
23.9,84.0,2.1,6.1,0.0,0.0
24.3,73.0,3.0,7.4,0.0,1.0
26.0,61.0,2.0,6.9,0.0,0.0
27.2,60.0,2.4,6.1,0.0,2.0
28.1,56.0,2.4,8.0,0.0,1.0
28.8,46.0,1.9,6.1,0.0,0.0
